,company,comp_id
145,"АО ""ЮАИЗ""",10603
146,"ПАО ""Фонд Ковчег""",23832
147,"ОАО ""Лебедяньавто""",14238
148,"ПАО ""НЗК""",4530
149,"ОАО ""ТНХИ-Х""",377
150,"АК ""АЛРОСА"" (ПАО)",199
151,"ПАО ""Уралхиммаш""",1801
152,"ПАО ""Нижнекамскшина""",152
153,"ПАО ""НЗХК""",1249
154,"АО ""Завод ""Дагдизель""",14461
155,"ОАО ""ТВЗ""",1108
156,"АО ""Янтарьэнерго""",4107
157,"АО ""БМК""",3551
158,"АО ""ЗОМЗ""",24422
159,"ОАО ""Российский институт титана и магния"" (РИТМ)",22381
160,ПАО РОСБАНК,2427
161,"ОАО ""Кочеволес""",3385
162,"ПАО ""НМТП""",3900
163,"ПАО ""МегаФон""",219
164,"ПАО ""Россети""",13806
165,"ПАО ""ГАЗ-сервис""",12078
166,"АО ""Полимер""",16540
167,"ПАО ""Туполев""",11474
168,ПАО «Транснефть»,636
169,ПАО «ТГК-2»,7968
170,"ПАО ""ТГК-14""",9396
171,ПАО «МРСК Центра»,7985
172,"ПАО ""М.видео""",11014
173,"ОАО ТКЗ ""Красный котельщик""",222
174,"ПАО ""Иркутскэнерго""",3899
175,"ПАО ""САФМАР Финансовые инвестиции""",11328
176,"АО ""Группа Ренессанс Страхование""",37468
177,"АО ""Волгоградпромжелдортранс""",6032
178,"ПАО ""Завод Атлант""",21051
179,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",202
180,"ПАО ""АВТЕЛКОМ""",35480
181,"ОАО ""ММК-МЕТИЗ""",id=57
182,"ОАО ""ВАЗ""",483
183,"ПАО ""Сахалинэнерго""",4842
184,"ПАО ""Дорогобуж""",321
185,"АО ""ИРЗ""",15478
186,"ПАО ""ОКС""",32330
187,"ПАО ""Тамбовская энергосбытовая компания""",5121
188,"ПАО ""МЗИК""",261
189,"АО ""Читаэнергосбыт""",9011
190,"ОАО ""ВНИПИнефть""",25352
191,"ПАО ""БАНК УРАЛСИБ""",156
192,"ПАО ""МРСК Сибири""",12072
193,"ПАО ""Якутскэнерго""",169
194,ЗАО им. Т.Г. Шевченко,8183
195,"ПАО ""ПГК""",34262
196,"ОАО ""Кропоткинское""",5111
197,"ОАО ""РЖД""",4543
198,"АО ""МСП Банк""",451
199,"ПАО ""Селигдар""",12557
200,"ООО ""Экспобанк""",7601
201,"ПАО ""Чкаловская судоверфь""",5306
202,"ПАО ""ФосАгро""",573
203,"АО ""ОДК""",27324
204,ПАО «ТрансКонтейнер»,11194
205,"АО ""БШФ""",2466
206,"ПАО ""ГАЗ""",859
207,"ПАО ""АК БАРС"" БАНК",1479
208,"ПАО ""Подзембургаз""",30499
209,"ОАО ""Гидрометаллург""",22818
210,"ПАО ""Корпорация ""Иркут""",id=76
211,"АКБ ""АКТИВ БАНК"" (ПАО)",2645
212,"ОАО ""Завод ЖБИ-6""",7600
213,"ПАО ""Норвик Банк""",2176
214,ОАО «Донуголь»,4382
215,"ОАО ""АБС ЗЭиМ Автоматизация""",2829
216,"АО ""АПТС""",10506
217,"АО ""Химзавод им. Карпова""",5906
218,"АО ""МСЗ""",2522
219,"ПАО ""ТГК-1""",7263
220,"ПАО ""Моломский ЛХЗ""",26689
221,"ПАО ""СН-МНГ""",568
222,"АО ТГК ""Измайлово""",9547
223,"Государственная компания ""Автодор""",27572
224,"ПАО ""РусГидро""",8580
225,ПАО СК «Росгосстрах»,214
226,"АО ""Газпром газораспределение Сыктывкар""",1353
227,"ОАО ""ВЭЛКОНТ""",15919
228,"АО ""Гипрониигаз""",1540
229,"ООО ""ДЭНИ КОЛЛ""",37709
230,"АО ""САЗ""",4321
231,"ПАО ""Самараэнерго""",506
232,"ОАО ""Донинтурфлот""",11670
233,"АО ""ЛИТ-ФОНОН""",1623
234,"АО ""ЛЕДВАНС""",1745
235,"ПАО ""Русполимет""",7466
236,ООО СФО ВТБ Инвестиционные Продукты,37945
237,"АО ""Гипроспецгаз""",380
238,ПАО «Россети Юг»,11999
239,"АО ""Учхоз Зерновое""",5642
240,"ПАО ""НК ""Роснефть""-Дагнефть""",10905
241,"ОАО ""Воронежская кондитерская фабрика""",3315
242,"АККСБ ""КС БАНК"" (ПАО)",203
243,"АО ""Ижевский мотозавод ""Аксион-холдинг""",11478
244,"ПАО ""Сокольский ЦБК""",4836
245,ПАО «Газпром газораспределение Ростов-на-Дону»,2047
246,"ПАО ""Завод ""Красное Сормово""",3836
247,"ПАО ""МРСК Центра и Приволжья""",12093
248,"ПАО ""Дорисс""",5224
249,"ПАО ""Татнефть"" им. В.Д.Шашина",118
250,"АО ""Газпром оргэнергогаз""",7060
251,"АО ""ФЭЗ""",36966
252,"ООО ""Атомстройкомплекс-Строительство""",36460
253,"ПАО ""МСЗ им. М.В. Фрунзе""",26064
254,"ПАО ""СЭС""",5292
255,"ОАО  ""Фабрика художественной упаковки""",22340
256,"ПАО ""Биосинтез""",4311
257,"ПАО ""Банк ""Екатеринбург""",305
258,"АО ""Камтэкс-Химпром""",23707
259,"ПАО ""Ленэнерго""",id=65
260,"АО АКБ ""НОВИКОМБАНК""",2254
261,"ПАО ""СН-МНГГ""",1708
262,"ОАО ""Каменный пояс""",5009
263,"ОАО ""Колос""",14707
264,"АО ""Национальный капитал""",11155
265,"АО ""РОСЭЛКО""",14565
266,"ПАО ""Красноярскэнергосбыт""",8880
267,"ОАО ""Мединформ""",17650
268,"ОАО ""ДЭМЗ""",1488
269,"ПАО ""КЮП""",15399
270,"ПАО ""Донкомбанк""",1446
271,"ПАО ""КЭМЗ""",8700
272,"Богдановичское ОАО ""Огнеупоры""",2665
273,"АО ""Молодая гвардия""",14905
274,"ПАО АКБ ""Металлинвестбанк""",960
275,"ПАО ""Газпром автоматизация""",5063
276,"АО ""ИФКУР-Забота""",134
277,"ПАО завод ""Красное знамя""",10493
278,"ОАО ""Тулэнергоремонт"" или ОАО ""ТЭР""",4108
279,"ОАО ""Эпром""",1347
280,"АО ""АПЗ""",7584
281,"АО ""Теплоприбор""",16061
282,"ПАО ""Куйтунская Нива""",24967
283,"ОАО ""ФСВ ""Ветеран-Инвест""",18179
284,"ПАО ""АСЗ""",1381
285,"ПАО ИСК ""Домостроитель""",4716
286,"ПАО ""ОР""",33614
