,company,comp_id
149,"ПАО ""НК ""Роснефть""-Алтайнефтепродукт""",11038
150,"ОАО ""Ивановская ""Райсельхозхимия""",7409
151,"ПАО ""Акрон""",357
152,"ОАО ""АПО ""МУЗА""",25389
153,"ООО ""УК ""АГАНА""",7194
154,"ПАО АКБ ""Металлинвестбанк""",960
155,Банк ВТБ (ПАО),1210
156,"АО ""Родник""",7394
157,"ОАО МСК ""Серышевский""",7399
158,ООО  «РЕГИОН Траст»,6663
159,"АО ""Кызылский хлебокомбинат""",22022
160,"ПАО ""Лента""",23310
161,"ООО ""Ноябрьская ПГЭ""",33691
162,"МОАО ""Седин""",12900
163,"ПАО ""ПК ""Гермес-Союз""",5641
164,"АО ""СОМЗ""",25948
165,"ПАО ""КГК""",17935
166,"АО ""РОСЭЛКО""",14565
167,"ПАО ИСК ""Домостроитель""",4716
168,"АО ""Консервный завод ""Саранский""",31189
169,"ОАО ""Старт-Терминал""",28308
170,ОАО «МЖС»,20719
171,"АО ""Волгогазоаппарат""",10478
172,"ООО ""Промкапитал""",29594
173,"ОАО ""КЗХ ""Бирюса""",2830
174,"ООО ""Роял Капитал""",37312
175,"ОАО ""Завод Старт""",23474
176,"ОАО ""ОРП""",21276
177,"ОАО ""НФЗПМ""",8468
178,"ПАО ""ЮК ГРЭС""",8768
179,"ЗАО ""ПТИЦЕФАБРИКА ОРЕНБУРГСКАЯ""",6379
180,"ООО ""Диджитал Инвест""",35103
181,"ПАО АКБ ""АВАНГАРД""",1070
182,"ПАО ""Продмонтаж""",16131
183,"ОАО ""ЗЧЗ""",25472
184,"ООО ""СИНХ-Финанс""",36890
185,"ОАО ""АВТОТРАНСБЫТ""",12744
186,"АО ""Уралэлектромедь""",2003
187,"АО ""БелЗАН""",1111
188,"ПАО ""ОСФ""",8374
189,"ОАО ""Климовское ХПП""",14418
190,"ЗАО ""ДОН - 1""",3171
191,"АО ""ЮЛК""",16944
192,ООО «КИСТОЧКИ Финанс»,37693
193,"ОАО ""БКЗ""",10130
194,"АО ""Авиаагрегат""",14898
195,"ПАО ""ЦКБ ""Айсберг""",9739
196,"ПАО ""Лензолото""",1991
197,"АО ""Полиграфоформление"", АО ""Полиграф"", АО ""ПОФ""",12913
198,"ООО ""Держава-Платформа""",37234
199,"ОАО ""Востокремстрой""",23722
200,"АО ""Автострада""",11184
201,"АО ""Учалинский ГОК""",1163
202,"ПАО ""Варьеганнефтегаз""",3166
203,"АО ""Металлист-Самара""",20647
204,"ОАО ""Автоколонна № 1131""",12106
205,"АО ""МЗ ""САПФИР""",1496
206,"ОАО ""Коммунэнерго""",19281
207,"ПАО ""БКСМ""",7861
